"filename", "language", "Ini", "Makefile", "C++", "GLSL", "C", "comment", "blank", "total"
"d:\DEV\projects\Project_1\include\glm\ext\vector_double3_precision.hpp", "C++", 0, 0, 8, 0, 0, 20, 7, 35
"d:\DEV\projects\Project_1\include\glm\ext\vector_double4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_double4_precision.hpp", "C++", 0, 0, 9, 0, 0, 20, 7, 36
"d:\DEV\projects\Project_1\include\glm\ext\vector_float1.hpp", "C++", 0, 0, 9, 0, 0, 16, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_float1_precision.hpp", "C++", 0, 0, 11, 0, 0, 17, 9, 37
"d:\DEV\projects\Project_1\include\glm\ext\vector_float2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_float2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_float3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_float3_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_float4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_float4_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\vector_int1.hpp", "C++", 0, 0, 9, 0, 0, 16, 8, 33
"d:\DEV\projects\Project_1\include\glm\ext\vector_int1_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\vector_int2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\vector_int2_sized.hpp", "C++", 0, 0, 13, 0, 0, 27, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\vector_int3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
